"RerF","Higgs",264.458,"128","6"
"RerF","Higgs",263.68,"128","6"
"RerF","Higgs",523.715,"256","6"
"RerF","Higgs",522.372,"256","6"
"RerF","Higgs",1063.847,"512","6"
"RerF","Higgs",1062.656,"512","6"
"RerF","Higgs",1515.867,"128","10"
"RerF","Higgs",1516.416,"128","10"
"RerF","Higgs",3065.444,"256","10"
"RerF","Higgs",3078.009,"256","10"
"RerF","Higgs",6070.548,"512","10"
"RerF","Higgs",5977.203,"512","10"
"RerF","Higgs",7880.382,"128","14"
"RerF","Higgs",7870.231,"128","14"
"RerF","Higgs",15634.764,"256","14"
"RerF","Higgs",15632.976,"256","14"
"RerF","Higgs",31389.918,"512","14"
"RerF","Higgs",31373.171,"512","14"
"XGBoost","Higgs",3.48300000000745,"128","6"
"XGBoost","Higgs",3.37200000000303,"128","6"
"XGBoost","Higgs",4.05199999999604,"256","6"
"XGBoost","Higgs",3.8859999999986,"256","6"
"XGBoost","Higgs",5.22800000000279,"512","6"
"XGBoost","Higgs",5.22099999999045,"512","6"
"XGBoost","Higgs",4.38699999998789,"128","10"
"XGBoost","Higgs",4.23099999999977,"128","10"
"XGBoost","Higgs",5.31599999999162,"256","10"
"XGBoost","Higgs",5.45200000001932,"256","10"
"XGBoost","Higgs",8.44000000000233,"512","10"
"XGBoost","Higgs",8.16099999999278,"512","10"
"XGBoost","Higgs",4.69099999999162,"128","14"
"XGBoost","Higgs",4.67999999999302,"128","14"
"XGBoost","Higgs",6.48199999998906,"256","14"
"XGBoost","Higgs",6.28500000000349,"256","14"
"XGBoost","Higgs",9.72800000000279,"512","14"
"XGBoost","Higgs",9.28099999998813,"512","14"
