4 , 0 , 6 , 47186204.343000
4 , 1 , 6 , 47803977.530000
4 , 2 , 6 , 47849694.052000
8 , 0 , 6 , 55757081.735000
8 , 1 , 6 , 56400294.355000
8 , 2 , 6 , 56575275.141000
12 , 0 , 12 , 1 , 12 , 2 , 16 , 0 , 6 , 57271767.746000
16 , 1 , 6 , 51366538.942000
16 , 2 , 6 , 51040871.120000
20 , 0 , 20 , 1 , 20 , 2 , 24 , 0 , 24 , 1 , 24 , 2 , 28 , 0 , 28 , 1 , 28 , 2 , 32 , 0 , 6 , 49927036.116000
32 , 1 , 6 , 57065924.471000
32 , 2 , 6 , 55882834.753000
36 , 0 , 36 , 1 , 36 , 2 , 40 , 0 , 40 , 1 , 40 , 2 , 44 , 0 , 44 , 1 , 44 , 2 , 48 , 0 , 48 , 1 , 48 , 2 , 52 , 0 , 52 , 1 , 52 , 2 , 56 , 0 , 56 , 1 , 56 , 2 , 60 , 0 , 60 , 1 , 60 , 2 , 64 , 0 , 6 , 54955140.128000
64 , 1 , 6 , 51028665.640000
64 , 2 , 6 , 56246766.774000
68 , 0 , 68 , 1 , 68 , 2 , 72 , 0 , 72 , 1 , 72 , 2 , 76 , 0 , 76 , 1 , 76 , 2 , 80 , 0 , 80 , 1 , 80 , 2 , 84 , 0 , 84 , 1 , 84 , 2 , 88 , 0 , 88 , 1 , 88 , 2 , 92 , 0 , 92 , 1 , 92 , 2 , 96 , 0 , 96 , 1 , 96 , 2 , 100 , 0 , 100 , 1 , 100 , 2 , 104 , 0 , 104 , 1 , 104 , 2 , 108 , 0 , 108 , 1 , 108 , 2 , 112 , 0 , 112 , 1 , 112 , 2 , 116 , 0 , 116 , 1 , 116 , 2 , 120 , 0 , 120 , 1 , 120 , 2 , 124 , 0 , 6 , 43510966.587000
124 , 1 , 6 , 44304566.567000
124 , 2 , 6 , 50898041.303000
128 , 0 , 6 , 45996931.806000
128 , 1 , 6 , 45475149.791000
128 , 2 , 6 , 49396793.479000
