higgs , actual , 0 , 78109709.780000
higgs , actual , 0 , 76333975.922000
higgs , actual , 0 , 77936225.926000
higgs , actual , 0 , 76035727.298000
higgs , actual , 0 , 76221550.256000
higgs , actual , 0 , 75997371.525000
higgs , actual , 0 , 75731887.036000
higgs , actual , 0 , 76350527.864000
higgs , actual , 0 , 76112986.874000
higgs , actual , 0 , 76066248.261000
higgs , actual , 1 , 66252453.670000
higgs , actual , 1 , 66157138.750000
higgs , actual , 1 , 67895301.677000
higgs , actual , 1 , 65606782.430000
higgs , actual , 1 , 66010011.089000
higgs , actual , 1 , 67513883.351000
higgs , actual , 1 , 65745184.468000
higgs , actual , 1 , 68537602.046000
higgs , actual , 1 , 66849308.867000
higgs , actual , 1 , 65872544.495000
higgs , actual , 2 , 52049141.338000
higgs , actual , 2 , 52386719.115000
higgs , actual , 2 , 53523212.444000
higgs , actual , 2 , 51703259.123000
higgs , actual , 2 , 52824831.406000
higgs , actual , 2 , 52968475.896000
higgs , actual , 2 , 51530486.462000
higgs , actual , 2 , 52463083.014000
higgs , actual , 2 , 51792473.229000
higgs , actual , 2 , 51212041.110000
higgs , actual , 4 , 40228027.812000
higgs , actual , 4 , 40595059.698000
higgs , actual , 4 , 40654844.978000
higgs , actual , 4 , 40675486.217000
higgs , actual , 4 , 40814589.329000
higgs , actual , 4 , 40836217.167000
higgs , actual , 4 , 40779413.883000
higgs , actual , 4 , 41752862.562000
higgs , actual , 4 , 40838395.811000
higgs , actual , 4 , 40803733.782000
higgs , actual , 6 , 37301122.369000
higgs , actual , 6 , 38754056.649000
higgs , actual , 6 , 35863478.135000
higgs , actual , 6 , 37036759.699000
higgs , actual , 6 , 38477890.978000
higgs , actual , 6 , 38564077.704000
higgs , actual , 6 , 40680361.110000
higgs , actual , 6 , 36887500.048000
higgs , actual , 6 , 36120665.786000
higgs , actual , 6 , 36849481.592000
